Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.492777777777778,1001.9661111111108,196
cgomes02,Tufts_Hempstead,2021-04-30,2021-04-30,19,1.6622222222222223,1017.4824999999995,52
kvarela,SSGAforCSP,2021-04-27,2021-04-27,16,0.024444444444444446,3445.4622222222224,1
yangpink,EvolSims,2021-05-04,2021-05-07,27,663.1577777777778,1000.9952777777778,1024
nishantpanicker,BiomedInfo,2021-04-26,2021-05-05,29,219.12555555555556,1000.3766666666709,2529
maplewen,UCMerced_Han,2021-04-27,2021-04-27,16,91.55083333333333,1001.0361111111116,620
golmoham,SourceCoding,2021-05-13,2021-05-13,23,456.2608333333333,1000.291388888886,2581
tuxino,REDTOP,2021-04-20,2021-04-20,15,17.711944444444445,1002.5144444444447,237
zackmweinstein,UCBerkeley_Altman,2021-04-26,2021-04-26,15,5125.286388888889,1000.2025000000016,15352
achapp,BiostatsChapple,2021-04-20,2021-04-20,15,14.928611111111111,1001.0286111111109,207
dananjaya,OSURHIT,2021-04-21,2021-04-23,16,2581.5769444444445,1000.0111111111171,14806
parabola505,UMCES_Fitzpatrick,2021-04-20,2021-04-22,16,43.319722222222225,1007.9027777777778,393
jzorn,PSU_Chen,2021-04-19,2021-04-26,18,153.73361111111112,1000.059999999999,3926
ckc,eht,2021-04-19,2021-04-30,25,973.9283333333333,1000.1244444444443,1838
ckc,eht,2021-05-16,2021-05-16,15,34.22277777777778,1000.2794444444447,619
mclauchc,SC_Gothe,2021-04-19,2021-05-13,36,36.11555555555555,1002.2419444444444,461
kneupane,CLAS12,2021-04-20,2021-04-29,20,114.65777777777778,1003.3777777777781,155
qic8,PainDrugs,2021-04-21,2021-04-29,19,13943.746111111112,1000.000555555537,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,21,511.7630555555556,1000.002777777777,1483
anushd,EvolSims,2021-04-25,2021-04-30,24,18.443055555555556,1043.499722222222,22
mzeng,UCSD_YZYou,2021-04-26,2021-04-30,23,279.4433333333333,1008.8213888888887,17
bastodian,Guam_Bentlage,2021-04-30,2021-04-30,27,24057.56027777778,1000.0052777778144,134460
ghutchis,chemml,2021-05-11,2021-05-11,38,6.411388888888889,1010.5425000000001,47
