Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
zackmweinstein,UCBerkeley_Altman,2021-05-19,2021-05-19,15,729.8133333333334,1000.1652777777756,2340
TimtheTyrant,UCSD_Rappel,2021-06-02,2021-06-02,15,5.573611111111111,1002.7194444444442,186
cgomes02,Tufts_Hempstead,2021-05-21,2021-06-02,26,9847.506944444445,1000.8055555555511,4422
achapp,BiostatsChapple,2021-06-01,2021-06-04,17,154.82805555555555,1485.9524999999999,3
anushd,EvolSims,2021-05-18,2021-05-27,18,366.4838888888889,1000.2086111111107,2128
mzeng,UCSD_YZYou,2021-06-03,2021-06-03,15,81.09222222222222,1733.3294444444446,2
maplewen,UCMerced_Han,2021-05-19,2021-05-19,20,165.89555555555555,1001.7372222222219,473
alyons18,MIT_Choi,2021-06-01,2021-06-02,38,17.98111111111111,1008.3394444444432,563
chunshen1987,WSU_3DHydro,2021-05-22,2021-05-25,16,81.78083333333333,1009.0980555555558,132
ckc,eht,2021-05-16,2021-05-16,21,34.22277777777778,1000.2794444444447,619
bastodian,Guam_Bentlage,2021-05-17,2021-05-18,21,20312.2075,1000.0058333333174,49817
yangpink,EvolSims,2021-06-01,2021-06-01,33,1995.9991666666667,1000.2572222222204,1469
mclauchc,SC_Gothe,2021-05-10,2021-05-13,17,36.05277777777778,1002.1572222222222,459
ghutchis,chemml,2021-05-10,2021-05-11,17,4.523055555555556,1021.4058333333332,48
golmoham,SourceCoding,2021-05-13,2021-05-13,20,456.2608333333333,1000.291388888886,2581
mmilhave,ASU_Pfeifer,2021-05-14,2021-05-17,21,440.1797222222222,1000.330833333334,943
pameyer,SBGrid,2021-05-19,2021-05-21,27,178.14,1000.0397222222485,39320
tylern,"SC_Gothe,CLAS12",2021-05-20,2021-05-27,33,10.108055555555556,1001.0324999999997,250
vbondar,PainDrugs,2021-05-22,2021-06-03,40,29.883055555555554,1000.4944444444448,407
urosas,GWU_Orti,2021-05-22,2021-06-05,34,403.68666666666667,1000.7888888889271,12006
rcoronel,g4PSI,2021-05-26,2021-06-03,38,68.07083333333334,1000.181666666665,784
stoessl,Hawaii_Doetinchem,2021-05-26,2021-06-05,42,4325.386944444444,1000.3533333334643,14699
victor_gonzalez,WayneStateU_Pruneau,2021-05-31,2021-06-01,38,4.238611111111111,1001.6977777777778,29
stranda,holosim,2021-06-02,2021-06-04,40,31.309722222222224,1000.1927777777773,411
