Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
ranantua,eht,2021-12-09,2021-12-09,15,793.3316666666667,20.25,10.91991282404221,5.102416411165095,17.6,1000.0430555555547,4359
yxfu,PixleyLab,2021-12-23,2021-12-23,20,313.73083333333335,33.96666666666667,12.557605070046698,8.485194701902572,25.066666666666666,1000.1633333333324,1499
chunshen1987,WSU_3DHydro,2021-12-15,2021-12-18,20,20.368333333333332,7.7,5.431555555555556,0.6965880566266699,5.583333333333333,1001.7325000000002,225
mclauchc,SC_Gothe,2021-12-10,2021-12-11,18,4.064722222222223,2.2333333333333334,2.0844729344729345,0.05578276556030558,2.1666666666666665,1001.2277777777775,117
tuxino,REDTOP,2021-12-06,2021-12-06,16,22.080555555555556,385.3,2.0103692463328273,14.978351214838506,1.85,1000.3513888888891,659
nascimentoff,ERVmodels,2021-12-08,2021-12-17,20,110.50638888888889,85.11666666666666,13.586851092896175,18.923700252483982,40.44833333333334,1006.8847222222217,488
vsoni11,DemoSims,2021-12-31,2021-12-31,39,2.2713888888888887,16.116666666666667,15.142592592592592,2.300892204835247,16.116666666666667,1069.5555555555554,9
langnerp,UCAnschutz_Langner,2021-12-09,2021-12-30,36,102.01777777777778,50.45,14.071417624521073,8.674212737978186,22.616666666666667,1000.700277777778,435
curotto,Arcadia_Curotto,2021-12-17,2021-12-21,22,176.67138888888888,2703.8166666666666,407.7032051282051,571.3534148555464,777.105,1030.8455555555556,26
anushd,EvolSims,2021-12-18,2021-12-18,15,73.14583333333333,30.25,12.023972602739725,9.336227714760405,24.766666666666666,1001.0147222222218,365
cgomes02,Tufts_Hempstead,2021-12-21,2021-12-21,21,203.0186111111111,25.966666666666665,14.693747486932047,5.35616860378949,20.216666666666665,1000.5794444444446,829
fisheryxy,Rice_Fox,2021-12-08,2021-12-10,19,21.178055555555556,12.566666666666666,1.3417986624428018,0.8231111396067915,2.3666666666666667,1001.115000000001,947
ericj,UChicago_Jonas,2021-12-08,2021-12-09,19,25.392222222222223,9.15,3.174027777777778,1.64809562445575,4.266666666666667,1001.8736111111112,480
jhw,LSU_Wilson,2021-12-08,2021-12-16,25,780.7761111111112,24.666666666666668,7.099040258625044,5.760189721722465,17.816666666666666,1000.149722222221,6599
Omria,chemml,2021-12-10,2021-12-10,21,17.310555555555556,2.7333333333333334,1.5618546365914787,0.421122045688776,2.216666666666667,1002.342777777778,665
achapp,BiostatsChapple,2021-12-12,2021-12-14,23,66.5363888888889,5.216666666666667,1.9841865473823723,0.5973352949113443,2.6666666666666665,1000.9711111111097,2012
kayleegs,Michigan_Seelbach,2021-12-13,2021-12-29,39,6.781666666666666,8.733333333333333,3.6657657657657654,1.9230313793720804,6.680000000000001,1007.6622222222226,111
a1akhtar,UCSD_YZYou,2021-12-15,2021-12-21,29,66.56416666666667,63.166666666666664,2.48528313627878,4.095947257511886,3.9833333333333334,1006.9333333333337,1607
arkajitmandal,Columbia_Mandal,2021-12-16,2021-12-28,32,270.7275,28.433333333333334,1.540412517780939,1.5757429652899264,3.3,1000.6141666666663,10545
kneupane,SC_Gothe,2021-12-26,2021-12-26,37,8.234444444444444,12.5,1.8435323383084576,2.3871033106597284,4.086666666666667,1001.8674999999998,268
