Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
ahl,BiomedInfo,2024-03-12,2024-03-12,15,280.27166666666665,66.85,23.421030640668523,21.8525565859183,49.35,1003.5061111111112,718
yangpink,EvolSims,2024-03-28,2024-03-28,15,5.568888888888889,7.983333333333333,3.554609929078014,1.143017878295637,5.25,1003.8627777777781,94
sadifenchen,IIT_Kang,2024-03-29,2024-03-31,17,527.2711111111112,1940.6166666666666,110.61631701631701,331.1313140112026,300.24833333333333,1004.4619444444444,286
gpagola,SSGAforCSP,2024-03-12,2024-03-26,23,1359.4141666666667,8968.533333333333,1148.800704225352,2021.398111922641,4301.713333333333,1010.8597222222221,71
eswright,BiomedInfo,2024-04-04,2024-04-04,21,3530.7238888888887,164.8,94.9970553064275,40.1906074384712,144.54833333333332,1000.363055555554,2230
/DC=org/DC=cilogon/C=US/O=University of Chicago/CN=Lanqing Yuan A33125231,xenon,2024-03-29,2024-03-29,26,351.0213888888889,51.833333333333336,15.729113766492407,15.709442599093359,41.483333333333334,1000.4116666666664,1339
znasipak,NASA_Nasipak,2024-03-26,2024-03-26,20,13.548055555555555,7.35,2.999569495694957,0.6325342743427461,4.046666666666667,1002.2486111111112,271
zackmweinstein,UCBerkeley_Altman,2024-03-17,2024-03-18,21,2086.1766666666667,21.9,12.568591224018475,5.127376853190493,18.933333333333334,1000.0436111111087,9959
nkremerh,Seattle_Herman,2024-03-22,2024-03-23,21,37.819722222222225,3.5833333333333335,2.1367074701820465,0.26347121029829956,2.378333333333333,1003.7013888888897,1062
jopacabra,NMSU_Sievert,2024-03-25,2024-04-01,17,9495.194444444445,383.3666666666667,146.07991452991453,57.30108475466959,160.1,1000.2236111110938,3900
katherinegonglewski,AMNH_MacLow,2024-03-24,2024-03-26,15,17.688333333333333,25.733333333333334,4.802262443438915,3.6743225733779292,8.113333333333333,1010.6258333333332,221
lsaleh,PSFmodeling,2024-03-15,2024-03-15,18,1070.5866666666666,47.03333333333333,16.432642619595804,7.494600995068208,25.25,1000.8116666666642,3909
wew012,UCSD_Bradic,2024-03-28,2024-03-29,20,774.5305555555556,417.98333333333335,172.1179012345679,149.6644017669406,406.61333333333334,1002.9683333333338,270
cnatzke,Mines_Leach,2024-04-02,2024-04-02,15,82.54527777777778,5.066666666666666,2.3252190923317686,1.1493855407242788,3.9466666666666668,1000.9427777777773,2130
xevra,CompBinFormMod,2024-03-13,2024-03-19,20,2253.4780555555553,5541.016666666666,124.50155003069366,811.0991778151001,6.221666666666667,1002.4350000000001,1086
alice,WSU_3DHydro,2024-03-18,2024-03-18,18,168269.95583333334,19435.45,19415.764134615383,14.864159676233992,19431.231666666667,1000.5772222222215,520
klucik,NOAA_Bell,2024-03-21,2024-03-21,18,33273.45861111111,87.03333333333333,50.540682936296975,21.918292153168444,80.41666666666667,1000.0044444443923,39501
ekul,Caltech_Bouma,2024-03-11,2024-03-12,15,77.55694444444444,7.383333333333334,2.6851798422773614,0.9202662832630306,3.75,1000.1947222222235,1733
bboudreaux,WSU_3DHydro,2024-03-21,2024-03-21,26,222983.74777777778,20292.983333333334,20240.5822491175,14.13500151263129,20256.5,1000.136944444444,661
arkajitmandal,Columbia_Mandal,2024-03-09,2024-03-16,17,1080.695,19.85,3.1846029173419774,1.5933387160914747,5.4,1000.0005555555655,20361
n8kaib,PSI_Kaib,2024-03-13,2024-03-13,19,16.104166666666668,7.466666666666667,4.3524774774774775,0.4763065101878237,5.03,1002.7780555555562,222
jangsuyoon,UWMilwaukee_Yoon,2024-03-13,2024-03-19,22,83.87388888888889,5.516666666666667,2.3873023402909554,0.2604971874592118,2.6666666666666665,1004.9861111111077,2108
yuw079,UCSD_Xu,2024-03-18,2024-03-18,24,321.9075,678.4833333333333,13.112321792260692,58.31310889682616,9.45,1008.0916666666666,1473
somak,UCSD_Politis,2024-03-27,2024-04-02,34,342.3905555555556,17.15,4.535975564878192,2.9507160698188906,9.016666666666667,1001.0422222222196,4529
mclauchc,SC_Gothe,2024-03-28,2024-03-28,34,11.97638888888889,6.833333333333333,3.342248062015504,0.6013586732207801,3.4733333333333336,1002.7363888888887,215
alexs,MSU_RCI,2024-03-29,2024-03-29,35,2887.308611111111,113.35,16.475370106197495,7.979378036791854,24.766666666666666,1000.7049999999989,10515
abgvg9,UAB_Thyme,2024-04-01,2024-04-02,38,95081.45305555555,1129.55,93.58871308189926,82.13477852746993,192.96666666666667,1000.0494444445212,60957
kjensen11,LBNL_Jensen,2024-04-02,2024-04-03,39,116.64027777777778,37.68333333333333,8.769945697577276,7.065477756008432,18.94,1003.8211111111113,798
