Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
jopacabra,NMSU_Sievert,2024-08-02,2024-08-03,17,1480.5941666666668,34.46666666666667,12.025944226343576,9.85015326861098,29.57,1000.3591666666799,7387
/DC=org/DC=incommon/C=US/ST=Illinois/O=The University of Chicago/CN=xenon-rucio.grid.uchicago.edu,xenon,2024-08-12,2024-08-15,18,21.45722222222222,98.28333333333333,1.98371854134566,8.763828790399502,1.5333333333333334,1004.795555555555,649
sarosboro,CompBinFormMod,2024-08-07,2024-08-17,33,2087.451666666667,18.216666666666665,3.7299234640698056,2.411398167027865,7.266666666666667,1000.0102777778138,33579
gpihan,WSU_3DHydro,2024-08-11,2024-08-12,15,1808.2083333333333,17164.183333333334,33.52673053152039,700.8534878471053,5.8933333333333335,1001.7180555555543,3236
pk558,PixleyLab,2024-08-06,2024-08-06,24,3215057.448888889,60833.36666666667,60814.45363598151,17.215161018653838,60830.46333333333,1000.2288888888899,3172
xyfei,UNC_Xiao,2024-08-01,2024-08-02,16,9.778333333333334,38.11666666666667,2.3281746031746033,2.638247439904812,3.7233333333333336,1000.7980555555553,252
chunshen1987,WSU_3DHydro,2024-08-15,2024-08-15,22,96578.97416666667,18485.9,18395.99507936508,62.46130300649057,18429.45,1002.9400000000004,315
lsaleh,PSFmodeling,2024-08-09,2024-08-12,23,98.94055555555556,47.56666666666667,5.675366475462078,6.369424634448063,15.166666666666666,1001.181666666666,1046
mukisa,ACE_NIAID,2024-08-02,2024-08-14,31,6.3597222222222225,75.55,25.438888888888886,19.721720427329778,64.57,1069.0255555555555,15
tangyicheng2017,PixleyLab,2024-08-10,2024-08-10,18,4006161.4469444444,41242.98333333333,41131.02101585672,65.01308330973121,41229.45,1008.0461111111108,5844
wenbin,WSU_3DHydro,2024-08-07,2024-08-07,16,116.36694444444444,22.233333333333334,8.185248143806174,7.326417565695631,17.946666666666665,1000.8955555555544,853
jakea,UCSD_Gilson,2024-07-30,2024-07-30,20,6742.291388888889,193.08333333333334,136.3915992357833,54.00850099417288,185.73833333333332,1000.194444444446,2966
jakea,UCSD_Gilson,2024-08-18,2024-08-19,15,3561.3244444444445,1215.8333333333333,40.86430802575381,22.759818121540206,61.016666666666666,1000.3213888888905,5229
nehatalluri,UWMadison_CHTCFellows,2024-08-05,2024-08-07,15,226.89444444444445,180.28333333333333,107.19422572178478,45.527774600169984,180.28333333333333,1002.2886111111115,127
aashish_tripathee,Michigan_Riles,2024-07-29,2024-07-29,19,1522.085,45811.0,45662.55,209.94000333428596,46018.829999999994,1298.2133333333331,2
aashish_tripathee,Michigan_Riles,2024-08-19,2024-08-19,16,320.78472222222223,480.1666666666667,31.500954719039825,93.10076025770374,125.71666666666667,1003.0322222222226,611
vdiogo,psychosisfmri,2024-07-28,2024-08-08,22,1076.5241666666666,886.4666666666667,44.33181194234729,113.15223743939772,83.82,1000.1919444444449,1457
/DC=org/DC=cilogon/C=US/O=University of Chicago/CN=Lanqing Yuan A33125231,xenon,2024-07-23,2024-07-23,15,28.57,2.3,1.4551782682512733,0.472889161111346,2.1166666666666667,1000.7902777777765,1178
ngrethen,KOTO,2024-07-23,2024-07-25,15,528.2794444444445,53.28333333333333,3.126838972740127,1.1558033202622435,4.0,1002.3761111111079,10137
zemlni,Washington_Savage,2024-07-23,2024-07-26,16,54.68083333333333,13.783333333333333,2.130422077922078,1.5246211711782536,4.683333333333334,1000.3502777777796,1540
rkhatiwada,LoyolaChicago_Li,2024-07-24,2024-08-08,23,1.0983333333333334,5.166666666666667,1.402127659574468,0.8875182315693999,2.5933333333333333,1000.8347222222225,47
electricsam,NOAA_Boyer,2024-07-26,2024-08-03,24,60.23694444444445,6.566666666666666,1.1673826442721793,0.5604879729043986,1.7333333333333334,1000.6927777777752,3096
zihangw,EvolSims,2024-07-26,2024-07-27,18,0.31666666666666665,7.333333333333333,3.1666666666666665,2.2062789186017864,8.518333333333334,1072.301388888889,6
anushd,EvolSims,2024-07-29,2024-07-29,21,29.861666666666668,4.633333333333334,1.2331039229181004,0.36522687848896795,1.65,1003.5361111111109,1453
dandan,Stanford_Gilula,2024-07-29,2024-07-31,22,291.2061111111111,30.7,1.7691744295936276,0.8105081042162435,2.7,1000.0513888888969,9876
TimtheTyrant,UCSD_Rappel,2024-08-05,2024-08-06,28,945.535,158.63333333333333,87.28015384615384,51.0182087562675,146.03333333333333,1000.5100000000009,650
alice,WSU_3DHydro,2024-08-08,2024-08-08,31,23.21388888888889,62.15,1.9897619047619048,5.249789977600122,2.85,1002.4386111111102,700
eswright,BiomedInfo,2024-08-09,2024-08-10,32,35.029444444444444,5.25,2.968596986817326,1.3018610729230011,4.266666666666667,1014.6780555555555,708
valetov,MSU_Berz,2024-08-09,2024-08-12,32,9.993611111111111,5.5,1.6032531194295898,0.2941069893124279,1.75,1000.0177777777776,374
jwterbot2,DemoSims,2024-08-12,2024-08-12,35,58.18055555555556,11.866666666666667,1.9523676360924682,0.8879372125924726,3.3333333333333335,1000.2775000000015,1788
xz51,Rice_Foster,2024-08-13,2024-08-14,36,91.58944444444444,906.1666666666666,7.072543972543972,72.01291808655304,1.4833333333333334,1003.201666666667,777
csmith,SPRI_Smith,2024-08-13,2024-08-18,38,195.6561111111111,168.75,3.2938739244294797,3.7591438243658306,6.75,1000.1633333333307,3564
nkremerh,Seattle_Herman,2024-08-15,2024-08-19,41,137.79944444444445,17.6,0.11235176880916792,0.3659773533154547,0.23333333333333334,1000.0316666666844,73590
xli11,KOTO,2024-08-15,2024-08-16,38,796.5377777777778,7.083333333333333,2.3644321311367276,0.8594929813057471,3.5833333333333335,1003.0269444444367,20213
xevra,CompBinFormMod,2024-08-15,2024-08-16,38,2.8180555555555555,5.766666666666667,1.1660919540229886,0.8256203564394595,2.2,1004.573611111111,145
jredeker,KOTO,2024-08-19,2024-08-19,42,751.3933333333333,29.5,4.1160960467451835,1.842041293501431,6.716666666666667,1000.0147222222205,10953
