Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
mclauchc,SC_Gothe,2024-06-10,2024-06-11,25,2.9180555555555556,1.9166666666666667,1.8049828178694158,0.08101515020544141,1.9,1001.1388888888888,97
anushd,EvolSims,2024-06-21,2024-06-21,29,10120.5775,21.55,12.28275112261823,5.4992226853852735,20.033333333333335,1000.0233333333038,49438
lsaleh,PSFmodeling,2024-06-07,2024-06-11,17,27746.13861111111,1419.3166666666666,1158.5026559962887,361.34938814971946,1418.1333333333334,1000.4886111111111,1437
phiht,UConn_Le,2024-06-24,2024-06-24,33,43.021388888888886,4.933333333333334,2.728629316420014,0.7331957626390555,3.466666666666667,1002.5624999999981,946
kkacanja,Syracuse_Nitz,2024-06-12,2024-06-12,30,710.0288888888889,12.65,3.9387697238658776,2.2643488758430355,7.6,1000.8063888888934,10816
zihangw,EvolSims,2024-06-05,2024-06-06,16,11.891666666666667,8.066666666666666,3.413875598086124,1.5810860987130897,5.566666666666666,1083.6555555555556,209
aashish_tripathee,Michigan_Riles,2024-06-10,2024-06-10,20,0.1175,1.0166666666666666,1.0071428571428571,0.008908708063747479,1.0166666666666666,1171.9822222222224,7
yuw079,UCSD_Xu,2024-06-03,2024-06-03,15,83.33472222222223,4.316666666666666,1.764942934462878,0.5107430973920734,2.3666666666666667,1001.5124999999991,2833
jakea,UCSD_Gilson,2024-06-07,2024-06-22,24,331.3688888888889,41.86666666666667,8.50027077098475,10.07922196404395,27.1,1000.6161111111079,2339
yuchenqi1031,UCSD_Xu,2024-06-17,2024-06-17,35,640.9569444444444,95.7,21.014981785063753,22.13273694818883,41.61,1000.6122222222203,1830
jiewenh,EvolSims,2024-06-03,2024-06-05,15,96.70361111111112,12.416666666666666,2.21289727943046,2.510175714832631,6.116666666666666,1001.3730555555552,2622
alice,WSU_3DHydro,2024-06-22,2024-06-22,18,218230.43305555556,23895.0,23592.47924924925,478.2075601965097,23886.85,1003.0730555555555,555
/DC=org/DC=incommon/C=US/ST=Illinois/O=The University of Chicago/CN=xenon-rucio.grid.uchicago.edu,xenon,2024-06-06,2024-06-10,20,1686.9208333333333,20.683333333333334,0.8488221432045756,2.6856670878106974,1.1833333333333333,1000.000833333354,119242
hroch,WSU_3DHydro,2024-06-04,2024-06-04,16,121.90305555555555,14.683333333333334,4.679579867775645,3.3188999489770916,10.2,1001.0416666666653,1563
eswright,BiomedInfo,2024-06-18,2024-06-18,20,1324.8938888888888,40.88333333333333,23.435623034591195,11.170383776006219,37.483333333333334,1000.0508333333336,3392
wew012,UCSD_Bradic,2024-06-21,2024-06-22,34,1184.0627777777777,220.91666666666666,43.719241025641026,39.386161028037556,103.80666666666666,1004.1799999999995,1625
zackmweinstein,UCBerkeley_Altman,2024-06-03,2024-06-03,20,127.99305555555556,7.783333333333333,3.3447662601626016,2.0025557559293428,6.8,1000.8019444444418,2296
zackmweinstein,UCBerkeley_Altman,2024-06-24,2024-06-24,19,20275.1525,25.066666666666666,12.22253742590174,6.4327875838604065,22.016666666666666,1000.0016666665798,99530
fliphilipp,UCSD_Fricker,2024-06-10,2024-06-11,28,296.2005555555556,119.06666666666666,19.00752228163993,22.47592452873329,65.12333333333333,1000.2258333333332,935
npcooley,BiomedInfo,2024-05-28,2024-05-28,16,301.11861111111114,28.383333333333333,15.974462127910405,8.617379673747083,26.75,1000.3024999999993,1131
meg_oshima,NOAA_DucharmeBarth,2024-05-30,2024-06-01,18,150.36027777777778,97.41666666666667,5.865810576506286,7.919043439427639,13.55,1000.5486111111114,1538
asharma_9,Purdue_Sharma,2024-05-30,2024-06-22,37,2.5147222222222223,57.1,6.2868055555555555,13.919590493142369,31.816666666666666,1334.8525,24
ahoerter,TG-MED220017,2024-06-05,2024-06-05,24,34.37777777777778,502.7,1.547386846711678,13.739002367986473,1.4166666666666667,1000.4836111111117,1333
gpihan,WSU_3DHydro,2024-06-05,2024-06-06,24,574.6822222222222,988.1666666666666,54.045350052246604,83.24008583659136,47.28333333333333,1001.219166666666,638
ahl,BiomedInfo,2024-06-06,2024-06-18,34,10997.34888888889,2610.9,195.2192110453649,580.5348242321035,14.196666666666665,1000.7911111111101,3380
jackson_g,WSU_3DHydro,2024-06-06,2024-06-15,29,38.669444444444444,26.716666666666665,2.648592085235921,3.068761486842805,8.183333333333334,1000.1933333333334,876
/DC=org/DC=cilogon/C=US/O=ACCESS/CN=MIN ZHONG E51738,xenon,2024-06-11,2024-06-11,30,1776.2825,151.58333333333334,82.874766718507,49.72252639885331,143.88,1000.2908333333316,1286
shc167,BiomedInfo,2024-06-11,2024-06-11,30,1702.7947222222222,29.783333333333335,16.96573951068305,8.374392775153998,27.366666666666667,1000.3158333333333,6022
nishantpanicker,BiomedInfo,2024-06-12,2024-06-14,31,9.86138888888889,20.65,2.4052168021680216,2.5111038891134347,3.45,1005.1527777777779,246
maplewen,UCMerced_Han,2024-06-18,2024-06-18,37,102.17916666666666,21.55,11.290515653775321,0.4719864376496775,11.5,1000.0425000000008,543
kwu97,UCSD_Politis,2024-06-20,2024-06-20,39,67.53416666666666,18.833333333333332,5.122692793931732,3.0122980811727276,8.033333333333333,1005.8444444444428,791
