Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
ranantua,eht,2021-12-09,2021-12-09,15,793.02,20.25,10.918127581459384,5.101640214341501,17.6,1000.307777777777,4358
tuxino,REDTOP,2021-12-06,2021-12-06,16,22.080555555555556,385.3,2.0103692463328273,14.978351214838506,1.85,1000.3513888888891,659
mclauchc,SC_Gothe,2021-12-10,2021-12-11,18,4.064722222222223,2.2333333333333334,2.0844729344729345,0.05578276556030558,2.1666666666666665,1001.2277777777775,117
chunshen1987,WSU_3DHydro,2021-12-15,2021-12-18,20,20.368333333333332,7.7,5.431555555555556,0.6965880566266699,5.583333333333333,1001.7325000000003,225
langnerp,UCAnschutz_Langner,2021-12-09,2021-12-30,36,102.07805555555555,50.45,14.079731800766284,8.67720585727937,22.616666666666667,1001.1875000000002,435
vsoni11,DemoSims,2021-12-31,2021-12-31,39,2.2713888888888887,16.116666666666667,15.142592592592592,2.300892204835247,16.116666666666667,1069.5555555555554,9
yxfu,PixleyLab,2021-12-23,2021-12-23,20,312.9461111111111,33.96666666666667,12.534557187360925,8.460106082293256,25.066666666666666,1000.0683333333324,1498
cgomes02,Tufts_Hempstead,2021-12-21,2021-12-21,21,203.0186111111111,25.966666666666665,14.693747486932047,5.35616860378949,20.216666666666665,1000.5794444444446,829
nascimentoff,ERVmodels,2021-12-08,2021-12-17,20,110.50638888888889,85.11666666666666,13.586851092896175,18.923700252483982,40.44833333333334,1006.8847222222217,488
curotto,Arcadia_Curotto,2021-12-08,2021-12-18,22,52.91388888888889,413.75,211.65555555555557,183.08986037162043,410.5,1008.6800000000001,15
anushd,EvolSims,2021-12-18,2021-12-18,16,73.14583333333333,30.25,12.023972602739725,9.336227714760405,24.766666666666666,1001.0147222222218,365
fisheryxy,Rice_Fox,2021-12-08,2021-12-10,20,21.193055555555556,12.566666666666666,1.3441684284707542,0.8247906375698487,2.3666666666666667,1004.0891666666678,946
ericj,UChicago_Jonas,2021-12-08,2021-12-09,20,25.392222222222223,9.15,3.174027777777778,1.64809562445575,4.266666666666667,1001.8736111111112,480
jhw,LSU_Wilson,2021-12-08,2021-12-16,26,780.7761111111112,24.666666666666668,7.099040258625044,5.760189721722465,17.816666666666666,1000.149722222221,6599
Omria,chemml,2021-12-10,2021-12-10,22,17.310555555555556,2.7333333333333334,1.5618546365914787,0.421122045688776,2.216666666666667,1002.342777777778,665
achapp,BiostatsChapple,2021-12-12,2021-12-14,24,66.5363888888889,5.216666666666667,1.9841865473823723,0.5973352949113443,2.6666666666666665,1000.9711111111097,2012
kayleegs,Michigan_Seelbach,2021-12-13,2021-12-29,40,6.781666666666666,8.733333333333333,3.6657657657657654,1.9230313793720804,6.680000000000001,1007.6622222222226,111
a1akhtar,UCSD_YZYou,2021-12-15,2021-12-21,30,66.56416666666667,63.166666666666664,2.48528313627878,4.095947257511886,3.9833333333333334,1006.9333333333337,1607
arkajitmandal,Columbia_Mandal,2021-12-16,2021-12-28,33,270.7272222222222,28.433333333333334,1.5404109372530426,1.575733384093738,3.3,1000.4588888888885,10545
kneupane,SC_Gothe,2021-12-26,2021-12-26,38,8.234444444444444,12.5,1.8435323383084576,2.3871033106597284,4.086666666666667,1002.0047222222221,268
