"CC*","New","Organization","(Generated on 2024-01-10 at 00:48 for 2023-12-11 through 2024-01-09)"
"True","False","American Museum of Natural History"
"False","False","Arcadia University"
"False","False","Baylor University"
"False","True","Brigham and Women's Hospital"
"False","False","Brookhaven National Laboratory"
"False","False","CERN"
"False","True","California State University, Northridge"
"False","False","Carnegie-Mellon University"
"False","True","Cedars-Sinai Medical Center"
"False","False","Colorado School of Mines"
"False","False","DUNE"
"False","False","Fermilab"
"False","False","Florida International University"
"False","True","Harvard University"
"False","False","International Gravitational-Wave Observatory Network (IGWN)"
"False","False","Jefferson Lab"
"False","False","Massachusetts Institute of Technology"
"False","False","North Carolina State University"
"False","False","Northeastern University"
"False","True","Northwestern Medicine"
"False","False","OSG"
"False","False","Ohio State University"
"False","True","Planetary Science Institute"
"False","False","Rensselaer Polytechnic Institute"
"True","False","Rice University"
"False","False","Rochester Institute of Technology"
"False","False","Rowan University"
"False","False","Rutgers, The State University of New Jersey"
"False","True","Seattle University"
"False","True","State University of New York at Stony Brook"
"False","False","The University of Alabama at Birmingham"
"False","False","The University of Kansas"
"False","False","University of Arizona"
"False","False","University of California, Berkeley"
"False","False","University of California, San Diego"
"False","False","University of Central Florida"
"False","False","University of Chicago"
"False","False","University of Colorado Boulder"
"True","False","University of Connecticut"
"False","False","University of Iowa"
"False","False","University of Maryland"
"False","False","University of Michigan"
"False","False","University of Nebraska-Lincoln"
"True","False","University of Notre Dame"
"False","False","University of Pennsylvania"
"False","False","University of Pittsburgh"
"False","False","University of Texas at Arlington"
"False","False","University of Utah"
"True","True","University of Washington"
"False","False","University of Wisconsin-Madison"
"False","False","Vanderbilt University"
"False","False","Washington University in St. Louis"
"True","False","Wayne State University"
