Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.613888888888889,1004.1727777777772,197
oshaughn,CompBinFormMod,2021-04-17,2021-04-17,25,5.657777777777778,1002.5841666666666,171
tuxino,REDTOP,2021-04-18,2021-04-20,18,18.173055555555557,1002.5366666666669,247
eholmbeck,CompBinFormMod,2021-04-17,2021-04-22,17,432.44944444444445,1000.0000000000024,11919
achapp,BiostatsChapple,2021-04-14,2021-04-15,17,2243.0655555555554,1000.0847222222222,9147
kneupane,CLAS12,2021-04-20,2021-04-29,31,114.65777777777778,1003.3777777777781,155
kvarela,SSGAforCSP,2021-04-27,2021-04-27,21,0.024444444444444446,3445.4622222222224,1
stranda,holosim,2021-04-10,2021-04-14,18,406.8208333333333,1000.3766666666685,966
cgomes02,Tufts_Hempstead,2021-04-21,2021-04-21,23,1387.2141666666666,1000.4316666666683,2412
MinLinUConn,UConn_Zhang,2021-04-11,2021-04-12,21,82412.84666666666,1002.5549999999995,275
amoral70,DemoSims,2021-04-14,2021-04-14,15,2.3569444444444443,1717.5922222222223,2
ch4mi,g4PSI,2021-04-02,2021-04-04,16,336.77694444444444,1001.2141666666657,1854
maplewen,UCMerced_Han,2021-04-05,2021-04-05,19,164.32916666666668,1000.1036111111106,672
bradena,SWOSU_SOCCER,2021-04-06,2021-04-23,31,1014.0436111111111,1013.0452777777746,4842
howardjp,COVID19_JHU_Howard,2021-04-08,2021-04-08,22,368.31166666666667,1000.355000000001,1404
alyons18,MIT_Choi,2021-04-11,2021-04-12,25,328.8905555555556,1002.6311111111119,1053
npcooley,BiomedInfo,2021-04-12,2021-04-13,26,14.768333333333333,1003.1561111111118,187
zackmweinstein,UCBerkeley_Altman,2021-04-13,2021-04-21,30,1729.7022222222222,1000.181666666661,9110
dananjaya,OSURHIT,2021-04-15,2021-04-23,33,2580.7930555555554,1000.1133333333391,14773
parabola505,UMCES_Fitzpatrick,2021-04-15,2021-04-22,33,43.39388888888889,1007.9311111111111,396
jzorn,PSU_Chen,2021-04-16,2021-04-26,35,154.49833333333333,1001.272499999999,3932
qic8,PainDrugs,2021-04-21,2021-04-29,36,13943.746111111112,1000.0005555555371,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,38,511.7630555555556,1000.002777777777,1483
