Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
cnatzke,Mines_Leach,2023-06-26,2023-06-28,17,14.008055555555556,12.483333333333333,3.654275362318841,1.5602589178885633,6.028333333333333,1003.2366666666671,230
wenbin,WSU_3DHydro,2023-07-10,2023-07-10,18,2.3602777777777777,2.5166666666666666,1.6092803030303031,0.22294696885811957,1.6166666666666667,1003.6483333333334,88
vsoni11,DemoSims,2023-07-11,2023-07-14,20,66.16833333333334,269.95,68.45,114.45161762848868,261.8066666666667,1004.6330555555555,58
aashish_tripathee,Michigan_Riles,2023-06-24,2023-06-24,18,3.6694444444444443,18.916666666666668,13.760416666666666,1.5947236495764772,17.084999999999997,1030.3322222222223,16
jiyuluo1002,UCSD_Xu,2023-06-26,2023-06-26,22,212.19722222222222,48.86666666666667,20.018605870020963,13.845762613171761,39.68333333333333,1000.6566666666707,636
alice,WSU_3DHydro,2023-06-27,2023-06-28,15,4482.972222222223,33.6,26.613073447445664,4.760304492066009,31.733333333333334,1001.042222222225,10107
valetov,MSU_Berz,2023-06-18,2023-06-18,16,33.33083333333333,32.21666666666667,3.257084690553746,4.2184926985692375,6.858333333333333,1000.1738888888883,614
nishantpanicker,BiomedInfo,2023-06-28,2023-06-28,15,1055.8322222222223,26.0,14.722271283600588,6.683682609867952,24.233333333333334,1000.2347222222211,4303
jiewenh,EvolSims,2023-06-29,2023-06-29,26,875.2913888888888,36.93333333333333,17.190665575559194,8.987591733439661,30.133333333333333,1003.0255555555552,3055
jopacabra,NMSU_Sievert,2023-06-22,2023-06-22,18,12575.305277777778,139.36666666666667,83.56609997415735,36.77834775686976,133.68333333333334,1000.2811111111158,9029
violachenyt,EvolSims,2023-06-22,2023-06-22,17,61.995,19.116666666666667,4.170067264573991,1.8374257002937298,6.411666666666666,1000.2197222222218,892
anushd,EvolSims,2023-06-23,2023-06-23,22,428.86583333333334,17.4,10.15467640094712,3.5230884777266884,15.116666666666667,1000.3005555555543,2534
zxy,SBU_Jia,2023-06-23,2023-06-23,22,81.1025,98.15,7.44059633027523,7.277442556009062,9.8,1000.2974999999996,654
first_philosopher,SBU_Jia,2023-06-23,2023-06-23,22,36.3925,106.88333333333334,3.3593076923076923,5.4538682705495445,3.6333333333333333,1001.2669444444449,650
katherinegonglewski,AMNH_MacLow,2023-06-29,2023-07-02,28,3.212222222222222,57.61666666666667,11.337254901960785,13.108575079106622,27.083333333333332,1006.3869444444443,17
flbarroso,NCSU_Barroso,2023-07-03,2023-07-03,32,1.7236111111111112,2.95,1.2767489711934157,0.1901694969908,1.2833333333333334,1007.3372222222226,81
